Promotion Name: April Digital and Ecommerce,,,"Original Order Start: December 17, 2025",,,,
"Start Date: April 1, 2026",,,"Original Order Deadline: January 21, 2025",,,,
"End Date: April 30, 2026",,,"Reorder Start: March 25, 2026",,,,
Sale Code: GN,,,"Reorder Deadline: May 12, 2026",,,,
Order Link: https://www.membercatalog.com/SearchResults.aspx?query=salecode.text:GN,,,,,,,
SKU,Description,Vendor Name,Brand,Regular Retail,Promotional Price,Promo Member Cost,Instant Rebate Amount
807559,16PK AAA ALKALIN BATTERY,ENERGIZER,Energizer,$18.99,$14.99,$13.641,
825248,3-BURNER ULTIMTE GRIDDLE,Dansons Inc,Pit Boss,$649.99,$599.99,$498.075,
834531,4PC WICKER CHAT SET,Do it Best GS,Outdoor Expressions,$1299.00,$1199.99,$931.587,
845438,4-BURNER ULTIMTE GRIDDLE,Dansons Inc,Pit Boss,$699.99,$649.99,$563.738,
845469,16PK AA ALKALINE BATTERY,ENERGIZER,Energizer,$18.99,$14.99,$13.641,
849325,CROWNS440 LP GRILL,Onward Multi Corp  D,Broil King,$849.99,$749.99,$639.377,
879706,4PC AZRE GRY/BL CHAT SET,Do it Best GS,Outdoor Expressions,$399.99,$379.99,$275.956,
704416,1.5CF VEG&HERB GRDN SOIL,SCOTTS GROWING MEDIA,Miracle-Gro,$11.29,$10.00,$8.431,$2.50
704428,1.5CF FLOWER GARDEN SOIL,SCOTTS GROWING MEDIA,Miracle-Gro,$10.79,$10.00,$8.395,$2.50
719204,5.6# TB SUN&SHADE SEED,SCOTTS COMPANY,Scotts,$45.49,$39.99,$33.640,$15.00
725029,25QT MGO OTDR POTTNG MIX,SCOTTS GROWING MEDIA,Miracle-Gro,$10.99,$10.00,$7.581,$2.50
733141,10# STHGLD PATCH&REPAIR,SCOTTS COMPANY,Scotts,$49.99,$42.99,$34.967,$15.00
742997,5.6# TB STHRNGLD TF SEED,SCOTTS COMPANY,Scotts,$36.99,$34.99,$27.616,$15.00
744449,1G RTU DLACWD&GRS KILLER,SCOTTS COMPANY,Roundup,$29.99,$29.99,$27.293,$15.00
748080,5.6# TB TALL FESCUE SEED,SCOTTS COMPANY,Scotts,$39.99,$39.99,$30.130,$15.00
756894,1GAL HD IND INST BARRIER,SCOTTS COMPANY,Ortho,$22.99,$22.99,$20.519,$15.00
765764,50QT MGRO POTTING MIX,SCOTTS GROWING MEDIA,Miracle-Gro,$18.99,—,$14.068,$5.00
707402,35.2OZ CON+ WD&GR KILLER,SCOTTS COMPANY,Roundup,$29.99,—,$28.299,$8.00
710854,WASP&HORNET TRAP,Spectrum Brands HG,Spectracide,$17.49,$17.49,$15.195,$2.00
711395,15M TURF BUILDER + HALTS,SCOTTS COMPANY,Scotts,$97.99,—,$89.566,$20.00
718349,13LB FIRE ANT GRANULES,SCOTTS COMPANY,Ortho,$23.99,—,$19.179,$10.00
728302,12M TB WEED&FEED,SCOTTS COMPANY,Scotts,$84.99,$84.99,$80.012,$20.00
731444,1G RTUWAND WD&GR KILLER,SCOTTS COMPANY,Roundup,$27.99,—,$23.277,$5.00
731803,5M GRUBEX GRUB KILLER,SCOTTS COMPANY,Scotts,$32.99,$29.99,$27.136,$10.00
735965,5M TURF BUILDER + HALTS,SCOTTS COMPANY,Scotts,$39.99,—,$35.651,$10.00
741380,5M HALTS CRBGS PREVENTER,SCOTTS COMPANY,Scotts,$24.99,$24.99,$19.136,$10.00
743483,10# P&R BERMUDA EZ SEED,SCOTTS COMPANY,Scotts,$42.99,$39.99,$35.687,$15.00
748394,4M SDNG LAWN FERTILIZER,SCOTTS COMPANY,Scotts,$52.99,$49.99,$42.383,$10.00
749961,4# SCTT DROUGHTMIX SEED,SCOTTS COMPANY,Scotts,$29.99,$24.99,$21.943,$10.00
750481,4M TB WEED&FEED,SCOTTS COMPANY,Scotts,$32.99,$34.99,$31.323,$10.00
757175,8M TB TX WD&FD FOR LAWNS,SCOTTS COMPANY,Scotts,$54.99,$54.99,$50.035,$10.00
764797,10LB SUN&SHADE EZ SEED,SCOTTS COMPANY,Scotts,$44.99,$39.99,$35.687,$15.00
764803,10LB TALL FESCUE EZ SEED,SCOTTS COMPANY,Scotts,$47.99,$42.99,$36.480,$15.00
768027,4# TB BERMUDAGRASS SEED,SCOTTS COMPANY,Scotts,$44.99,$42.99,$34.015,$10.00
723371,5M STEP1 CRABGRASS+LWN F,SCOTTS COMPANY,Scotts,$44.99,—,$31.027,$25 (Bundle)
723398,5M STEP2 WEED CTRL+LWN F,SCOTTS COMPANY,Scotts,$37.99,$35.00,$29.520,$25 or $40 (Bundle)
723401,5M STEP3 LAWN FD+2% IRON,SCOTTS COMPANY,Scotts,$30.99,$27.00,$23.018,$25 or $40 (Bundle)
723428,5M STEP 4 FALL LAWN FOOD,SCOTTS COMPANY,Scotts,$29.99,$25.99,$21.324,$25 or $40 (Bundle)
723436,5M STEP 1 SEEDING FERT,SCOTTS COMPANY,Scotts,$59.99,$52.00,$47.054,$40 or $90 (Bundle)
731694,15M STEP3 LAWN F+2% IRON,SCOTTS COMPANY,Scotts,$64.99,$59.00,$53.932,$60 or $90 (Bundle)
731701,15M STEP2 WEED CNTRL+LWN,SCOTTS COMPANY,Scotts,$79.99,—,$69.696,$60 or $90 (Bundle)
731710,15M STEP1 CRABGRSS+LWN F,SCOTTS COMPANY,Scotts,$97.99,—,$89.317,$60 (Bundle)
731729,15M STEP4 FALL LAWN FOOD,SCOTTS COMPANY,Scotts,$64.99,$59.99,$51.127,$60 or $90 (Bundle)
